Data,CO,MP10,O3,MP2.5,SO2
04/08/2017,,47.0,40.0,43.0,12.0
04/08/2018,1.0,22.0,17.0,12.0,0.0
04/08/2019,0.0,30.0,50.0,5.0,0.0
04/08/2020,0.0,30.0,52.0,5.0,2.0
04/08/2021,0.0,26.0,38.0,26.0,2.0
04/08/2022,0.0,34.0,30.0,34.0,60.0
04/09/2015,1.0,56.0,45.0,,2.0
04/09/2016,0.0,8.0,26.0,,4.0
04/09/2017,0.0,12.0,45.0,8.0,2.0
04/09/2018,1.0,53.0,37.0,27.0,12.0
04/09/2019,0.0,37.0,63.0,9.0,2.0
04/09/2020,0.0,38.0,54.0,6.0,6.0
04/09/2021,0.0,18.0,50.0,10.0,2.0
04/09/2022,0.0,34.0,33.0,35.0,0.0
04/10/2016,0.0,7.0,18.0,,2.0
04/10/2017,,24.0,,11.0,
04/10/2018,0.0,23.0,68.0,26.0,2.0
04/10/2019,0.0,23.0,52.0,6.0,0.0
04/10/2020,0.0,,61.0,43.0,4.0
04/10/2021,0.0,40.0,63.0,46.0,2.0
04/10/2022,1.0,21.0,26.0,9.0,2.0
04/11/2015,0.0,22.0,51.0,29.0,4.0
04/11/2016,1.0,16.0,,11.0,2.0
04/11/2017,0.0,14.0,38.0,7.0,0.0
04/11/2018,0.0,22.0,49.0,10.0,2.0
04/11/2019,0.0,22.0,80.0,5.0,2.0
04/11/2020,1.0,19.0,37.0,4.0,0.0
04/11/2021,1.0,25.0,44.0,12.0,2.0
04/11/2022,0.0,,18.0,8.0,
04/12/2015,0.0,10.0,49.0,,2.0
04/12/2016,0.0,6.0,37.0,,2.0
04/12/2017,1.0,24.0,22.0,,4.0
04/12/2018,0.0,13.0,35.0,3.0,2.0
04/12/2019,0.0,4.0,21.0,,
04/12/2020,,31.0,,10.0,
04/12/2021,0.0,6.0,36.0,9.0,4.0
04/12/2022,0.0,11.0,18.0,8.0,
05/01/2015,0.0,12.0,46.0,,0.0
05/01/2016,0.0,6.0,21.0,,0.0
05/01/2018,0.0,10.0,22.0,4.0,2.0
05/01/2019,0.0,27.0,41.0,10.0,2.0
05/01/2020,0.0,4.0,,,2.0
05/01/2021,0.0,,52.0,,0.0
05/01/2022,1.0,,6.0,10.0,0.0
05/02/2015,,10.0,37.0,,4.0
05/02/2016,0.0,10.0,33.0,5.0,2.0
05/02/2017,0.0,7.0,32.0,,0.0
05/02/2018,0.0,5.0,18.0,,0.0
05/02/2019,0.0,26.0,61.0,7.0,0.0
05/02/2020,0.0,12.0,30.0,,2.0
05/02/2021,1.0,25.0,28.0,26.0,2.0
05/02/2022,0.0,21.0,27.0,10.0,2.0
05/03/2015,0.0,13.0,42.0,,4.0
05/03/2016,0.0,9.0,20.0,,0.0
05/03/2017,0.0,10.0,43.0,3.0,0.0
05/03/2018,0.0,22.0,,6.0,0.0
05/03/2019,0.0,18.0,35.0,7.0,2.0
05/03/2020,1.0,22.0,53.0,4.0,4.0
05/03/2021,1.0,26.0,37.0,27.0,2.0
05/03/2022,0.0,14.0,33.0,11.0,2.0
05/04/2015,0.0,4.0,34.0,,2.0
05/04/2016,0.0,11.0,28.0,7.0,0.0
05/04/2017,0.0,11.0,49.0,3.0,4.0
05/04/2018,1.0,22.0,45.0,7.0,0.0
05/04/2019,1.0,33.0,32.0,11.0,0.0
05/04/2020,1.0,27.0,47.0,7.0,0.0
05/04/2021,,10.0,38.0,10.0,2.0
05/04/2022,0.0,14.0,34.0,11.0,2.0
05/05/2015,0.0,14.0,13.0,,2.0
05/05/2016,1.0,23.0,42.0,12.0,2.0
05/05/2017,0.0,15.0,50.0,6.0,0.0
05/05/2018,0.0,28.0,50.0,8.0,2.0
05/05/2019,0.0,18.0,35.0,6.0,4.0
05/05/2020,1.0,33.0,38.0,10.0,2.0
05/05/2021,1.0,28.0,48.0,27.0,4.0
05/05/2022,1.0,22.0,13.0,11.0,2.0
05/06/2015,0.0,13.0,24.0,,2.0
05/06/2016,,27.0,25.0,35.0,2.0
05/06/2017,0.0,17.0,45.0,10.0,2.0
05/06/2018,0.0,27.0,53.0,9.0,2.0
05/06/2019,0.0,15.0,45.0,,0.0
05/06/2020,3.0,58.0,33.0,,12.0
05/06/2021,0.0,12.0,30.0,10.0,4.0
05/06/2022,0.0,5.0,32.0,11.0,0.0
05/07/2015,,40.0,37.0,,2.0
05/07/2016,0.0,10.0,20.0,,2.0
05/07/2017,0.0,9.0,,,2.0
05/07/2018,0.0,38.0,55.0,27.0,4.0
05/07/2019,,74.0,23.0,32.0,14.0
05/07/2020,0.0,14.0,42.0,6.0,
05/07/2021,0.0,32.0,44.0,32.0,6.0
05/07/2022,0.0,11.0,21.0,12.0,0.0
05/08/2015,0.0,25.0,65.0,,14.0
05/08/2016,0.0,16.0,33.0,11.0,2.0
05/08/2017,0.0,12.0,58.0,9.0,0.0
05/08/2018,,44.0,51.0,37.0,6.0
05/08/2019,0.0,18.0,44.0,,0.0
05/08/2020,0.0,30.0,45.0,5.0,6.0
05/08/2021,0.0,22.0,41.0,11.0,0.0
05/08/2022,1.0,44.0,30.0,46.0,0.0
05/09/2015,1.0,37.0,,,2.0
05/09/2016,0.0,13.0,31.0,,4.0
05/09/2017,,30.0,47.0,,2.0
05/09/2018,0.0,33.0,53.0,8.0,4.0
05/09/2019,0.0,,54.0,8.0,2.0
05/09/2020,0.0,30.0,58.0,7.0,6.0
05/09/2021,1.0,35.0,52.0,35.0,2.0
05/09/2022,0.0,32.0,24.0,29.0,0.0
05/10/2016,0.0,15.0,32.0,10.0,4.0
05/10/2017,,22.0,,7.0,
05/10/2018,0.0,21.0,51.0,29.0,2.0
05/10/2019,0.0,20.0,54.0,6.0,0.0
05/10/2020,0.0,,56.0,27.0,0.0
05/10/2021,0.0,31.0,59.0,35.0,0.0
05/10/2022,1.0,19.0,37.0,10.0,2.0
05/11/2015,0.0,34.0,67.0,34.0,4.0
05/11/2016,0.0,6.0,30.0,,0.0
05/11/2017,0.0,18.0,40.0,8.0,2.0
05/11/2018,0.0,10.0,36.0,,2.0
05/11/2019,1.0,38.0,62.0,10.0,4.0
05/11/2020,1.0,28.0,43.0,6.0,2.0
05/11/2021,0.0,26.0,45.0,27.0,2.0
05/11/2022,0.0,8.0,26.0,9.0,
05/12/2015,,11.0,,6.0,
05/12/2016,0.0,9.0,26.0,7.0,2.0
05/12/2017,1.0,34.0,47.0,7.0,8.0
05/12/2018,0.0,22.0,51.0,7.0,2.0
05/12/2019,1.0,14.0,21.0,,
05/12/2020,,15.0,,4.0,
05/12/2021,0.0,6.0,38.0,8.0,4.0
05/12/2022,0.0,,16.0,10.0,
06/01/2015,0.0,13.0,,,0.0
06/01/2016,0.0,9.0,40.0,,2.0
