Data,CO,MP10,O3,MP2.5,SO2
05/03/2018,1.0,29.0,,,16.0
05/03/2020,0.0,18.0,,,
05/04/2015,0.0,18.0,44.0,,74.0
05/04/2016,0.0,23.0,66.0,12.0,16.0
05/04/2017,0.0,14.0,42.0,6.0,
05/04/2018,1.0,21.0,53.0,10.0,10.0
05/04/2019,1.0,25.0,47.0,27.0,16.0
05/04/2020,0.0,16.0,,11.0,
05/05/2015,0.0,25.0,58.0,,74.0
05/05/2016,1.0,34.0,61.0,40.0,24.0
05/05/2018,0.0,14.0,55.0,8.0,8.0
05/05/2019,1.0,8.0,,6.0,16.0
05/05/2020,,22.0,,26.0,
05/06/2015,0.0,18.0,38.0,4.0,
05/06/2016,0.0,27.0,56.0,30.0,22.0
05/06/2017,0.0,27.0,37.0,10.0,
05/06/2018,0.0,17.0,47.0,,10.0
05/06/2019,0.0,,49.0,4.0,10.0
05/06/2020,,13.0,,8.0,
05/07/2015,1.0,38.0,57.0,11.0,
05/07/2016,1.0,34.0,32.0,43.0,30.0
05/07/2017,0.0,16.0,38.0,6.0,2.0
05/07/2018,1.0,18.0,50.0,10.0,
05/07/2019,1.0,,34.0,30.0,
05/07/2020,,,,7.0,
05/07/2021,0.0,,,,
05/08/2015,0.0,26.0,59.0,10.0,
05/08/2016,0.0,16.0,56.0,26.0,28.0
05/08/2017,0.0,,70.0,6.0,4.0
05/08/2018,1.0,34.0,43.0,40.0,16.0
05/08/2019,,10.0,55.0,3.0,
05/08/2020,,10.0,,5.0,4.0
05/08/2021,0.0,,,,
05/09/2015,1.0,29.0,66.0,26.0,
05/09/2016,0.0,10.0,61.0,,32.0
05/09/2018,1.0,,52.0,,18.0
05/09/2019,0.0,20.0,,,
05/09/2020,,15.0,,,16.0
05/09/2021,1.0,,,,
05/10/2015,0.0,22.0,49.0,10.0,
05/10/2016,0.0,28.0,54.0,,34.0
05/10/2017,0.0,10.0,39.0,6.0,6.0
05/10/2018,1.0,19.0,53.0,29.0,8.0
05/10/2019,,12.0,,8.0,
05/10/2020,,,,29.0,30.0
05/11/2015,1.0,44.0,85.0,40.0,2.0
05/11/2016,0.0,10.0,46.0,5.0,38.0
05/11/2017,0.0,,39.0,,8.0
05/11/2018,1.0,8.0,,5.0,10.0
05/11/2019,1.0,30.0,,32.0,
05/11/2020,,,,,36.0
05/12/2015,0.0,18.0,,7.0,4.0
05/12/2016,1.0,21.0,38.0,9.0,38.0
05/12/2017,1.0,,58.0,,12.0
05/12/2019,,18.0,,10.0,
05/12/2020,0.0,14.0,,10.0,43.0
06/01/2015,0.0,,54.0,,82.0
06/01/2016,0.0,14.0,,6.0,6.0
06/01/2017,1.0,28.0,54.0,9.0,
06/01/2018,0.0,,53.0,,10.0
06/01/2019,1.0,14.0,70.0,8.0,20.0
06/01/2020,0.0,,,9.0,
06/01/2021,,15.0,,12.0,
06/02/2015,0.0,28.0,,,
06/02/2016,0.0,15.0,60.0,6.0,10.0
06/02/2017,1.0,18.0,34.0,6.0,
06/02/2018,0.0,,20.0,8.0,12.0
06/02/2019,1.0,14.0,46.0,7.0,18.0
06/02/2020,,10.0,,6.0,
06/03/2015,,21.0,,,
06/03/2016,1.0,10.0,61.0,4.0,12.0
06/03/2017,1.0,25.0,56.0,11.0,
06/03/2018,1.0,30.0,,,18.0
06/03/2019,1.0,10.0,70.0,,16.0
06/03/2020,,14.0,,,
06/04/2015,0.0,29.0,66.0,,74.0
06/04/2016,0.0,22.0,68.0,12.0,18.0
06/04/2017,0.0,19.0,40.0,6.0,
06/04/2018,1.0,17.0,35.0,8.0,10.0
06/04/2019,1.0,19.0,,12.0,16.0
06/04/2020,,14.0,,10.0,
06/05/2015,0.0,14.0,59.0,,68.0
06/05/2016,0.0,29.0,52.0,40.0,20.0
06/05/2018,0.0,15.0,52.0,10.0,8.0
06/05/2019,1.0,17.0,,11.0,16.0
06/05/2020,0.0,25.0,,29.0,
06/06/2015,0.0,16.0,36.0,3.0,
06/06/2016,1.0,50.0,44.0,57.0,24.0
06/06/2017,1.0,35.0,64.0,26.0,
06/06/2018,1.0,29.0,34.0,,10.0
06/06/2019,,,,5.0,10.0
06/06/2020,,12.0,,8.0,
06/07/2015,,26.0,47.0,6.0,
06/07/2016,0.0,22.0,34.0,29.0,26.0
06/07/2017,0.0,15.0,39.0,6.0,2.0
06/07/2018,1.0,22.0,49.0,12.0,10.0
06/07/2019,0.0,,50.0,10.0,
06/07/2020,,,,11.0,
06/07/2021,0.0,15.0,,8.0,
06/08/2015,0.0,32.0,79.0,11.0,
06/08/2016,0.0,17.0,46.0,,30.0
06/08/2017,0.0,,63.0,7.0,4.0
06/08/2018,1.0,23.0,32.0,32.0,
06/08/2019,,9.0,,,
06/08/2020,,8.0,,5.0,6.0
06/08/2021,0.0,,,,
06/09/2015,0.0,15.0,78.0,7.0,
06/09/2016,0.0,17.0,66.0,,34.0
06/09/2018,1.0,18.0,65.0,10.0,12.0
06/09/2019,0.0,10.0,,,
06/09/2020,0.0,14.0,,,16.0
06/09/2021,1.0,,,,
06/10/2015,0.0,15.0,67.0,4.0,
06/10/2016,1.0,26.0,43.0,,34.0
06/10/2017,0.0,14.0,43.0,10.0,6.0
06/10/2018,1.0,15.0,46.0,10.0,12.0
06/10/2019,,,,10.0,
06/10/2020,0.0,,,32.0,32.0
06/11/2015,0.0,31.0,95.0,27.0,2.0
06/11/2016,0.0,21.0,50.0,9.0,38.0
06/11/2017,0.0,,38.0,,6.0
06/11/2018,1.0,,,,10.0
06/11/2019,1.0,22.0,,30.0,
06/11/2020,0.0,,,,38.0
06/12/2015,0.0,17.0,,6.0,4.0
06/12/2016,0.0,,52.0,7.0,40.0
06/12/2017,0.0,,33.0,,6.0
06/12/2019,0.0,22.0,,10.0,
06/12/2020,,9.0,,7.0,43.0
07/01/2015,0.0,,54.0,,82.0
07/01/2016,0.0,14.0,,6.0,6.0
07/01/2017,1.0,15.0,47.0,6.0,
07/01/2018,0.0,,38.0,,8.0
07/01/2019,1.0,10.0,76.0,7.0,20.0
07/01/2020,0.0,,,10.0,
07/01/2021,0.0,14.0,,12.0,
07/02/2015,0.0,16.0,,,
07/02/2016,0.0,11.0,59.0,5.0,12.0
07/02/2017,1.0,18.0,64.0,7.0,
07/02/2019,1.0,18.0,,9.0,18.0
07/02/2020,0.0,11.0,,6.0,
07/03/2015,0.0,16.0,,,
07/03/2016,1.0,,61.0,8.0,14.0
07/03/2017,0.0,15.0,55.0,6.0,
07/03/2018,1.0,24.0,,,14.0
07/03/2019,1.0,10.0,,5.0,16.0
07/03/2020,,7.0,,,
07/04/2015,0.0,21.0,55.0,,80.0
07/04/2016,0.0,30.0,57.0,37.0,20.0
07/04/2017,1.0,34.0,42.0,8.0,
07/04/2018,0.0,10.0,42.0,5.0,10.0
07/04/2019,1.0,19.0,,11.0,16.0
07/04/2020,0.0,16.0,,10.0,
07/05/2015,0.0,23.0,63.0,,66.0
07/05/2016,0.0,30.0,54.0,40.0,20.0
07/05/2018,0.0,12.0,50.0,6.0,10.0
07/05/2019,1.0,29.0,,37.0,26.0
07/05/2020,0.0,18.0,,12.0,
07/06/2015,0.0,22.0,42.0,5.0,
07/06/2016,0.0,26.0,34.0,29.0,26.0
07/06/2017,1.0,28.0,49.0,10.0,
07/06/2018,1.0,39.0,32.0,,10.0
07/06/2019,,17.0,,10.0,10.0
07/06/2020,,12.0,,8.0,
07/07/2015,0.0,24.0,44.0,6.0,
07/07/2016,0.0,19.0,30.0,27.0,30.0
07/07/2017,0.0,17.0,33.0,5.0,2.0
07/07/2018,1.0,19.0,47.0,10.0,10.0
07/07/2019,0.0,,65.0,6.0,
07/07/2020,,,,8.0,
07/07/2021,0.0,21.0,,10.0,
07/08/2015,0.0,24.0,78.0,6.0,
07/08/2016,0.0,16.0,71.0,11.0,32.0
07/08/2017,0.0,,59.0,8.0,4.0
07/08/2018,1.0,15.0,30.0,8.0,10.0
07/08/2019,,,,5.0,
07/08/2020,0.0,12.0,,6.0,6.0
07/08/2021,0.0,,,,
07/09/2015,0.0,18.0,70.0,6.0,
07/09/2016,1.0,32.0,58.0,44.0,36.0
07/09/2017,0.0,18.0,,10.0,22.0
07/09/2018,1.0,18.0,68.0,10.0,12.0
07/09/2019,0.0,12.0,,,
07/09/2020,0.0,25.0,,,18.0
07/09/2021,0.0,,,,
07/10/2015,0.0,22.0,49.0,8.0,
07/10/2016,0.0,9.0,65.0,,47.0
07/10/2017,0.0,14.0,49.0,10.0,6.0
07/10/2018,1.0,,34.0,,10.0
07/10/2019,,,,8.0,
07/10/2020,0.0,,,35.0,32.0
07/11/2015,0.0,26.0,89.0,12.0,0.0
07/11/2016,0.0,14.0,45.0,6.0,38.0
07/11/2017,0.0,,30.0,,6.0
07/11/2018,1.0,,,,10.0
07/11/2019,,22.0,,30.0,
07/11/2020,,,,,38.0
07/12/2015,0.0,20.0,,8.0,4.0
07/12/2016,0.0,25.0,51.0,10.0,40.0
07/12/2017,0.0,,24.0,,8.0
07/12/2018,1.0,28.0,,26.0,14.0
07/12/2019,1.0,18.0,,8.0,
07/12/2020,,15.0,,10.0,43.0
08/01/2015,,,66.0,,82.0
08/01/2016,0.0,15.0,,7.0,6.0
08/01/2017,0.0,12.0,54.0,,
08/01/2018,0.0,,34.0,,8.0
08/01/2019,1.0,12.0,162.0,8.0,20.0
08/01/2020,0.0,,,10.0,
08/01/2021,,14.0,,10.0,
08/02/2015,0.0,10.0,,,
08/02/2016,0.0,10.0,56.0,4.0,12.0
08/02/2017,0.0,13.0,32.0,5.0,
08/02/2019,1.0,,46.0,8.0,32.0
08/02/2020,,8.0,,6.0,
08/03/2015,0.0,17.0,,,
08/03/2016,1.0,,58.0,6.0,14.0
08/03/2017,0.0,17.0,49.0,6.0,
08/03/2018,1.0,18.0,,,12.0
08/03/2019,1.0,11.0,,7.0,16.0
08/03/2020,,5.0,,,
08/04/2015,,10.0,47.0,,70.0
08/04/2016,0.0,39.0,99.0,38.0,20.0
08/04/2017,1.0,22.0,39.0,5.0,
08/04/2018,0.0,,41.0,,8.0
08/04/2019,1.0,17.0,,7.0,16.0
08/04/2020,,10.0,,6.0,
08/05/2015,,15.0,56.0,,66.0
08/05/2016,0.0,26.0,57.0,38.0,20.0
08/05/2018,0.0,11.0,40.0,6.0,10.0
08/05/2019,1.0,9.0,,,14.0
08/05/2020,,4.0,,4.0,
08/06/2015,0.0,26.0,,6.0,
08/06/2016,0.0,18.0,24.0,26.0,26.0
08/06/2017,1.0,31.0,40.0,11.0,
08/06/2018,1.0,34.0,34.0,,10.0
08/06/2019,1.0,18.0,60.0,10.0,10.0
08/06/2020,0.0,24.0,,29.0,
08/07/2015,0.0,34.0,37.0,9.0,
08/07/2016,0.0,18.0,39.0,30.0,28.0
08/07/2017,0.0,18.0,46.0,5.0,2.0
08/07/2018,1.0,30.0,43.0,32.0,10.0
08/07/2019,0.0,,58.0,7.0,
08/07/2020,0.0,,,10.0,
08/07/2021,0.0,22.0,,12.0,
08/08/2015,0.0,21.0,71.0,7.0,
