Data,CO,MP10,O3,MP2.5,SO2
04/06/2020,1.0,27.0,43.0,,4.0
04/06/2021,0.0,,40.0,47.0,2.0
04/06/2022,1.0,25.0,38.0,38.0,0.0
04/07/2016,0.0,42.0,34.0,26.0,2.0
04/07/2017,0.0,31.0,41.0,29.0,10.0
04/07/2018,1.0,,50.0,,18.0
04/07/2019,1.0,49.0,42.0,53.0,8.0
04/07/2020,1.0,,38.0,,4.0
04/07/2021,1.0,33.0,56.0,49.0,4.0
04/07/2022,0.0,16.0,19.0,32.0,0.0
04/08/2015,1.0,68.0,68.0,,8.0
04/08/2016,0.0,49.0,50.0,35.0,6.0
04/08/2017,1.0,50.0,74.0,47.0,0.0
04/08/2018,1.0,28.0,23.0,34.0,10.0
04/08/2019,0.0,28.0,46.0,32.0,6.0
04/08/2020,0.0,26.0,52.0,26.0,4.0
04/08/2021,0.0,38.0,49.0,32.0,12.0
04/08/2022,1.0,26.0,58.0,38.0,14.0
04/09/2015,1.0,95.0,67.0,,2.0
04/09/2016,0.0,31.0,66.0,10.0,2.0
04/09/2017,0.0,31.0,39.0,,2.0
04/09/2018,1.0,90.0,49.0,30.0,8.0
04/09/2019,1.0,38.0,66.0,38.0,2.0
04/09/2020,0.0,26.0,69.0,29.0,6.0
04/09/2021,1.0,22.0,77.0,12.0,0.0
04/09/2022,0.0,32.0,70.0,49.0,4.0
04/10/2016,,17.0,,8.0,
04/10/2017,0.0,31.0,63.0,29.0,4.0
04/10/2018,1.0,39.0,66.0,43.0,6.0
04/10/2019,0.0,27.0,50.0,27.0,2.0
04/10/2020,1.0,49.0,44.0,66.0,2.0
04/10/2021,1.0,21.0,62.0,43.0,2.0
04/10/2022,0.0,11.0,40.0,10.0,2.0
04/11/2015,0.0,40.0,73.0,11.0,0.0
04/11/2016,0.0,38.0,,26.0,
04/11/2017,1.0,15.0,57.0,8.0,4.0
04/11/2018,1.0,20.0,34.0,12.0,0.0
04/11/2019,0.0,42.0,62.0,34.0,4.0
04/11/2020,1.0,15.0,,10.0,4.0
04/11/2021,0.0,20.0,46.0,30.0,0.0
04/11/2022,0.0,9.0,29.0,6.0,4.0
04/12/2015,0.0,,63.0,10.0,0.0
04/12/2016,0.0,25.0,45.0,7.0,0.0
04/12/2017,1.0,18.0,54.0,,0.0
04/12/2018,0.0,17.0,33.0,7.0,0.0
04/12/2019,0.0,9.0,26.0,4.0,4.0
04/12/2020,0.0,19.0,58.0,11.0,0.0
04/12/2021,0.0,8.0,28.0,8.0,2.0
04/12/2022,0.0,,29.0,11.0,0.0
05/01/2015,0.0,19.0,54.0,,0.0
05/01/2016,,22.0,42.0,,
05/01/2017,0.0,36.0,56.0,10.0,2.0
05/01/2018,1.0,,38.0,,0.0
05/01/2019,1.0,24.0,41.0,26.0,8.0
05/01/2020,1.0,15.0,14.0,27.0,4.0
05/01/2021,0.0,14.0,52.0,12.0,4.0
05/01/2022,0.0,12.0,18.0,,2.0
05/02/2015,0.0,18.0,38.0,,0.0
05/02/2016,0.0,25.0,53.0,10.0,2.0
05/02/2017,1.0,26.0,29.0,6.0,0.0
05/02/2018,1.0,,30.0,,0.0
05/02/2019,0.0,22.0,49.0,30.0,2.0
05/02/2020,1.0,20.0,17.0,26.0,0.0
05/02/2021,1.0,15.0,21.0,29.0,2.0
05/02/2022,0.0,13.0,27.0,10.0,0.0
05/03/2015,1.0,21.0,43.0,,6.0
05/03/2016,1.0,18.0,33.0,8.0,4.0
05/03/2017,1.0,30.0,34.0,27.0,0.0
05/03/2018,1.0,28.0,44.0,26.0,0.0
05/03/2019,1.0,,32.0,,8.0
05/03/2020,1.0,17.0,54.0,26.0,2.0
05/03/2021,0.0,26.0,22.0,27.0,8.0
05/03/2022,1.0,10.0,29.0,32.0,2.0
05/04/2015,0.0,20.0,40.0,,2.0
05/04/2016,0.0,26.0,66.0,,0.0
05/04/2017,0.0,6.0,48.0,,2.0
05/04/2018,0.0,26.0,46.0,27.0,8.0
05/04/2019,1.0,33.0,,46.0,
05/04/2020,1.0,22.0,30.0,43.0,4.0
05/04/2021,0.0,18.0,30.0,32.0,2.0
05/04/2022,0.0,11.0,34.0,35.0,2.0
05/05/2015,0.0,19.0,17.0,,2.0
05/05/2016,1.0,53.0,74.0,49.0,2.0
05/05/2017,0.0,25.0,44.0,26.0,0.0
05/05/2018,0.0,29.0,54.0,37.0,8.0
05/05/2019,1.0,22.0,36.0,29.0,2.0
05/05/2020,1.0,24.0,,,0.0
05/05/2021,1.0,,46.0,58.0,10.0
05/05/2022,1.0,11.0,18.0,,4.0
05/06/2015,1.0,30.0,27.0,,4.0
05/06/2016,1.0,,42.0,43.0,0.0
05/06/2017,0.0,,46.0,40.0,2.0
05/06/2018,1.0,,46.0,,0.0
05/06/2019,0.0,20.0,36.0,10.0,6.0
05/06/2020,1.0,20.0,48.0,,6.0
05/06/2021,0.0,,34.0,32.0,4.0
05/06/2022,0.0,18.0,42.0,37.0,6.0
05/07/2016,0.0,31.0,33.0,26.0,2.0
05/07/2017,1.0,26.0,33.0,32.0,4.0
05/07/2018,1.0,,53.0,,14.0
05/07/2019,1.0,46.0,31.0,44.0,2.0
